fq_name,count
org.junit.jupiter.api.extension.ExtendWith,209
org.junit.jupiter.params.ParameterizedTest,135
org.junit.jupiter.params.provider.MethodSource,44
org.openqa.selenium.By,22
org.openqa.selenium.JavascriptExecutor,2
org.openqa.selenium.WebDriver,27
org.openqa.selenium.WebElement,7
org.openqa.selenium.chrome.ChromeDriver,10
org.openqa.selenium.chrome.ChromeOptions,8
org.openqa.selenium.firefox.FirefoxDriver,5
org.openqa.selenium.firefox.FirefoxOptions,2
org.openqa.selenium.safari.SafariDriver,2
org.openqa.selenium.support.ui.ExpectedConditions,4
org.openqa.selenium.support.ui.WebDriverWait,7
org.junit.jupiter.api.DisplayNameGenerator,4
org.junit.jupiter.api.extension.BeforeAllCallback,10
org.openqa.selenium.Keys,10
org.openqa.selenium.interactions.Actions,6
org.openqa.selenium.interactions.touch.TouchActions,2
org.openqa.selenium.remote.RemoteWebDriver,6
org.openqa.selenium.Dimension,5
org.openqa.selenium.support.ui.Select,4
org.junit.jupiter.api.Assumptions,6
androidx.compose.desktop.Window,4
androidx.compose.ui.unit.IntSize,18
androidx.compose.runtime.AbstractApplier,2
org.w3c.dom.events.EventListener,12
androidx.compose.runtime.snapshots.ObserverHandle,2
androidx.compose.runtime.snapshots.Snapshot,2
kotlinx.coroutines.SupervisorJob,66
kotlinx.coroutines.CoroutineDispatcher,442
kotlinx.coroutines.Runnable,9
kotlin.coroutines.CoroutineContext,263
kotlin.js.Promise,93
androidx.compose.runtime.Composition,6
androidx.compose.runtime.ControlledComposition,2
androidx.compose.runtime.DefaultMonotonicFrameClock,2
androidx.compose.runtime.Recomposer,2
kotlinx.coroutines.CoroutineStart,37
org.w3c.dom.HTMLBodyElement,3
androidx.compose.runtime.Composer,6
org.gradle.api.initialization.IncludedBuild,2
org.gradle.api.tasks.Internal,84
org.gradle.kotlin.dsl.named,15
org.jetbrains.intellij.IntelliJPluginExtension,2
org.jetbrains.intellij.tasks.PatchPluginXmlTask,3
org.jetbrains.intellij.tasks.PublishPluginTask,3
org.jetbrains.intellij.tasks.RunPluginVerifierTask,2
org.gradle.api.tasks.compile.JavaCompile,9
org.gradle.kotlin.dsl.withType,24
org.jetbrains.kotlin.gradle.dsl.KotlinJvmCompile,9
org.gradle.api.provider.Provider,111
androidx.compose.foundation.shape.RoundedCornerShape,176
androidx.compose.material.darkColors,24
androidx.compose.material.lightColors,24
androidx.compose.material.MaterialTheme,237
androidx.compose.material.Shapes,20
androidx.compose.material.Typography,21
androidx.compose.ui.text.font.FontFamily,46
androidx.compose.ui.text.font.FontWeight,91
androidx.compose.ui.text.TextStyle,63
androidx.compose.ui.unit.dp,819
com.intellij.ide.ui.LafManager,11
com.intellij.ide.ui.LafManagerListener,14
com.intellij.openapi.application.ApplicationManager,170
java.awt.Color,178
javax.swing.UIManager,16
androidx.compose.foundation.layout.fillMaxSize,155
androidx.compose.material.Surface,137
androidx.compose.ui.awt.ComposePanel,12
com.intellij.openapi.project.Project,1128
com.intellij.openapi.ui.DialogWrapper,33
javax.swing.JComponent,153
androidx.compose.material.TextButton,26
androidx.compose.material.OutlinedButton,10
androidx.compose.material.Icon,198
androidx.compose.material.icons.Icons,168
androidx.compose.material.icons.filled.FavoriteBorder,18
androidx.compose.material.icons.filled.Refresh,9
androidx.compose.foundation.layout.height,195
androidx.compose.material.CircularProgressIndicator,51
androidx.compose.material.LinearProgressIndicator,14
androidx.compose.material.Checkbox,19
androidx.compose.material.RadioButton,13
androidx.compose.material.Switch,13
androidx.compose.material.SwitchDefaults,14
androidx.compose.foundation.text.KeyboardOptions,31
androidx.compose.material.TextField,22
androidx.compose.material.OutlinedTextField,24
androidx.compose.ui.text.input.KeyboardType,19
androidx.compose.ui.text.input.PasswordVisualTransformation,12
androidx.compose.ui.text.input.TextFieldValue,28
com.intellij.openapi.actionSystem.AnActionEvent,135
com.intellij.openapi.project.DumbAwareAction,37
androidx.compose.desktop.DesktopTheme,10
androidx.compose.foundation.lazy.LazyColumn,122
androidx.compose.foundation.lazy.rememberLazyListState,55
androidx.compose.foundation.layout.Spacer,194
androidx.compose.foundation.rememberScrollbarAdapter,16
androidx.compose.foundation.VerticalScrollbar,10
androidx.compose.foundation.ScrollState,26
com.apollographql.apollo.ApolloCall,3
com.apollographql.apollo.ApolloClient,8
com.apollographql.apollo.api.CustomTypeAdapter,6
com.apollographql.apollo.api.CustomTypeValue,6
com.apollographql.apollo.api.Input,2
com.apollographql.apollo.api.Response,3
com.apollographql.apollo.exception.ApolloException,3
okhttp3.OkHttpClient,232
org.jetbrains.annotations.TestOnly,77
java.lang.NullPointerException,7
androidx.compose.foundation,14
androidx.compose.foundation.layout,217
androidx.compose.foundation.text.selection.SelectionContainer,4
androidx.compose.material,44
androidx.compose.ui.graphics.luminance,3
androidx.compose.ui.text.AnnotatedString,31
androidx.compose.ui.text.SpanStyle,18
androidx.compose.ui.text.font.FontStyle,14
org.ocpsoft.prettytime.PrettyTime,4
java.lang.Integer.parseInt,2
androidx.compose.runtime.CompositionLocalProvider,79
androidx.activity.compose.setContent,47
androidx.compose.ui.unit.DpSize,16
androidx.compose.ui.window.Window,29
androidx.compose.ui.window.WindowSize,4
androidx.compose.ui.window.WindowState,27
androidx.compose.ui.window.application,23
androidx.compose.runtime.Applier,2
androidx.compose.runtime.withRunningRecomposer,2
androidx.compose.ui.platform.LocalDensity,47
androidx.compose.ui.platform.LocalLayoutDirection,13
androidx.compose.ui.unit.Density,10
androidx.compose.ui.unit.LayoutDirection,11
kotlinx.coroutines.withContext,410
kotlinx.coroutines.yield,7
