package,count
com.github.automatedowl,1
io.qameta,60
org.influxdb,28
com.influxdb,19
com.bugsnag,7
org.xmlunit,5
io.github.kakaocup,2
com.android.emulator,2
com.malinskiy.adam.junit4,7
com.malinskiy.adam.request,58
net.schmizz,24
com.github.fracpete,2
org.skyscreamer,2
com.malinskiy.adam.android,1
com.malinskiy.adam.AndroidDebugBridgeClient,13
com.malinskiy.adam.exception,5
com.malinskiy.adam.AndroidDebugBridgeClientFactory,1
com.malinskiy.adam.interactor,1
com.malinskiy.adam.transport,1
org.imgscalr,1
com.shazam,1
com.android.sdklib,5
com.malinskiy.adam.server,38
com.brsanthu,1
org.springframework.util,42
com.netflix,16
graphql.scalars,6
graphql.util,10
net.datafaker,2
graphql.InvalidSyntaxError,4
graphql.validation,10
org.springframework.cache,14
graphql.Assert,2
org.koin.standalone,4
io.ktor.freemarker,4
freemarker,26
com.android.Version,2
com.android.ide,1
org.funktionale,1
coil.util,5
com.f2prateek,12
androidx.core.math,2
retrofit2.Invocation,3
coil.ImageLoaderFactory,3
androidx.core.provider,6
androidx.emoji,16
com.bumptech.glide.RequestManager,67
com.bumptech.glide.signature,4
com.swordfish,103
com.uber,60
androidx.leanback,96
dagger.android,118
io.reactivex.rxkotlin,73
com.jakewharton.rxrelay2,20
androidx.tvprovider,4
dagger.multibindings,67
com.airbnb.epoxy,61
com.gojuno,56
com.jakewharton.rxbinding3,11
androidx.documentfile,24
android.system,4
dagger.MapKey,15
com.dinuscxj,1
com.frybits,1
com.tamsiree,65
com.readystatesoftware,2
net.lingala,8
com.orhanobut,3
org.greenrobot,147
com.chad,45
com.yalantis,16
com.afollestad,68
com.esri,27
io.swagger.codegen,23
io.swagger.parser,13
io.swagger.util,4
io.swagger.models,29
jp,7
com.alexvasilkov,8
me.saket,110
androidx.core.transition,3
coil.imageLoader,12
coil.request,34
com.chibatching,9
com.getkeepsafe,8
coil.drawable,1
coil.transition,2
coil.Coil,3
coil.ComponentRegistry,2
coil.disk,4
coil.memory,1
rxdogtag2,2
com.jakewharton.rxrelay3,5
com.jakewharton.shimo,1
com.serjltt,6
retrofit2.mock,3
com.mattprecious,2
com.facebook.flipper,18
com.facebook.soloader,2
shark,2
com.squareup.anvil,12
org.gradle.maven,2
dagger.Reusable,94
com.tickaroo,12
catchup,4
org.unbescape,1
com.google.devtools,47
deps,1
proguard,1
com.airbnb.mvrx,58
com.github.sundeepk,2
com.dropbox,53
com.facebook.testing,9
defer,21
tsstdlib,1
http,1
com.benasher44,26
enums,3
rxjava,1
sqlite,1
reserved,3
httpcache,4
sample,8
appsync,1
fullstack,1
outofbounds,1
codegen,67
root_fragment,1
trivial_fragment_spread,2
conditional_inline_fragment,1
variables,4
schema,7
idling,1
optimistic,4
nonnull,3
batching,2
declarativecache,8
circular_cache_read,1
fragment_normalizer,2
fake_subscription_engine,1
IdCacheKeyGenerator,1
multimodule,4
optional,6
none,3
default,3
custom,3
Utils,1
net.mbonnin,1
io.ktor.utils,9
JapiCmp,1
net.AddressInfo,1
net.Socket,1
net.createServer,1
io.reactivex.annotations,8
io.kotest.property,431
io.kotest.data,6
com.jakewharton.retrofit2,12
io.realm,5
org.apache.ibatis,2
io.michaelrocks,4
com.jakewharton.rx3,1
com.wdullaer,1
androidx.camera,8
org.bitcoinj,101
com.mukesh,1
org.spongycastle,27
io.intercom,6
com.github.mikephil,69
com.elyeproj,1
org.web3j,24
com.braintreepayments,10
com.checkout,11
zendesk,16
siftscience,1
com.android.installreferrer,2
org.koin.test,8
exchangerate,2
store,3
com.veriff,4
io.embrace,1
org.stellar,60
io.github.novacrypto,3
com.airbnb.android,3
android.support.transition,4
androidx.net,1
androidx.os,2
androidx.view,2
android.support.multidex,1
com.ihsanbal,2
org.gradle.launcher,2
oshi,1
org.gradle.invocation,2
org.gradle.caching,4
io.github.rybalkinsd,6
guru,9
com.rethinkdb,9
org.elasticsearch.client,78
org.elasticsearch.action,274
org.gradle.plugin,2
au,8
com.uwetrottmann,76
retrofit2.awaitResponse,16
net.openid,12
coil.intercept,2
javax.security,13
android.icu,3
com.pranavpandey,8
com.javiersc,1
com.etebarian,6
com.ogaclejapan,6
com.github.javiersantos,1
com.shreyaspatil,2
pl,13
io.javalin.Javalin,12
io.javalin.core,10
io.javalin.openapi,94
io.javalin.plugin,2
org.eclipse.jetty,240
panda,286
io.javalin.http,138
javax.naming,27
net.dzikoysk,34
io.javalin.websocket,12
software,34
com.fasterxml.classmate,8
com.github.victools,64
org.tinylog,2
com.unboundid,6
kong,59
com.charleskorn,4
com.github.gradle,2
org.kethereum.erc55,6
org.kethereum.model,92
org.kethereum.rpc,12
com.android.apksig,1
coil.api,1
org.gradle.model,6
org.gradle.samples,6
net.jodah,2
org.gradle.initialization,2
javassist,4
graphql.relay,14
com.blankj,26
cat,2
com.zhpan,6
com.just,1
com.kingja,26
com.yanzhenjie,15
com.ittianyu,1
net.lucode,21
com.kunminx,2
per,1
com.franmontiel,3
me.jessyan,1
me.hgj,1
io.gatling,10
com.github.jk1,9
jakarta,37
io.netty.bootstrap,10
io.netty.buffer,147
javax.sound,3
javafx.scene.media,4
org.jetbrains.concurrency,19
com.intellij.formatting,78
com.intellij.core,3
io.kotest.inspectors,28
Releasing_main,4
lib_publisher_tools,16
com.soywiz.korui,69
com.soywiz.korio,351
com.soywiz.korev,29
com.soywiz.korim,319
com.soywiz.klock,168
com.soywiz.korma,256
com.soywiz.kmem,122
com.soywiz.korau,9
com.soywiz.krypto,32
com.soywiz.kds,253
com.soywiz.korinject,19
com.soywiz.korgw,19
com.soywiz.korag,69
kotlin.printStackTrace,2
com.soywiz.korte,1
com.soywiz.klogger,14
com.soywiz.kgl,2
com.soywiz.korlibs,5
kotlin.require,5
org.w3c.workers,7
org.apache.catalina,3
org.apache.coyote,1
org.apache.tomcat,5
gg,9
com.codahale,13
org.webjars,2
org.apache.velocity,14
org.apache.directory,5
org.thymeleaf,7
nl,103
kotlin.Byte,2
com.kotcrab.vis.ui,147
me.alexpanov,1
com.badlogic.ashley,89
kotlin.Annotation,1
io.ipfs,8
org.ligi,111
net.steamcrafted,2
permissions,2
net.glxn,3
org.gradle.configurationcache,1
net.mamoe,16
kotlinx.io,128
me.him188,56
BinaryCompatibilityConfigurator,4
com.intellij.pom,8
io.github.karlatemp,3
org.eclipse.aether,58
splitties,20
com.ooooonly,4
org.acra,24
org.luaj,9
org.itxtech,2
org.jline,19
kotlin.RequiresOptIn,1
java.nio.Buffer,1
com.winterbe,51
com.gargoylesoftware,8
com.grosner,2
net.steppschuh,4
com.example,46
androidx.webkit,4
coil.dispose,13
org.toml,134
com.siyeh,45
org.jetbrains.idea,4
com.intellij.uiDesigner,5
com.intellij.featureStatistics,5
com.intellij.unscramble,3
com.intellij.debugger,17
net.fabricmc,5
com.intellij.structuralsearch,2
com.intellij.codeEditor,3
com.extracraftx,3
com.intellij.project,1
org.cadixdev,2
dalvik,3
com.android.dx,6
com.github.magiepooh,1
com.squareup.leakcanary,38
io.reactivex.observers,34
org.powermock,73
br,40
com.facebook.react,75
com.facebook.common,7
com.facebook.datasource,4
com.facebook.drawee,9
com.facebook.imagepipeline,18
me.ibrahimyilmaz,5
org.elasticsearch.common,605
com.cronutils,4
org.elasticsearch.search,50
org.elasticsearch.cluster,39
org.elasticsearch.threadpool,10
org.elasticsearch.transport,19
org.elasticsearch.rest,201
org.elasticsearch.index,40
com.amazon,54
org.elasticsearch.ElasticsearchException,3
org.elasticsearch.test,74
org.elasticsearch.ElasticsearchStatusException,16
inet,1
org.elasticsearch.ElasticsearchSecurityException,2
org.elasticsearch.indices,1
org.elasticsearch.script,16
org.elasticsearch.ResourceAlreadyExistsException,1
org.elasticsearch.tasks,18
org.elasticsearch.ExceptionsHelper,1
org.elasticsearch.env,2
org.elasticsearch.painless,3
org.elasticsearch.plugins,4
org.elasticsearch.repositories,1
org.elasticsearch.watcher,1
